Date,Open,High,Low,Close,Adj Close,Volume
18-02-2013,7.472,7.93,6.908,7.222,7.222,87042500
25-02-2013,7.23,7.35,6.76,6.93,6.93,55615000
04-03-2013,6.954,7.888,6.94,7.694,7.694,35325500
11-03-2013,7.774,7.898,7.042,7.058,7.058,44886000
18-03-2013,7.06,7.412,6.984,7.324,7.324,27120500
25-03-2013,7.42,7.704,7.354,7.578,7.578,33210000
01-04-2013,8.472,9.336,8.042,8.274,8.274,151058500
08-04-2013,8.394,9.028,8.066,8.75,8.75,60465000
15-04-2013,8.7,9.976,8.502,9.566,9.566,66799500
22-04-2013,9.72,10.748,9.55,10.24,10.24,83606000
29-04-2013,10.352,11.636,10.24,10.91,10.91,91671000
06-05-2013,11.278,16.200001,11.024,15.352,15.352,374076000
13-05-2013,16.198,19.424,15.622,18.299999,18.299999,585378500
20-05-2013,18.224001,19.59,16.610001,19.416,19.416,270305000
27-05-2013,20.309999,22.98,19.546,19.552,19.552,380485500
03-06-2013,19.524,20.58,17.65,20.408001,20.408001,302215000
10-06-2013,19.785999,20.504,18.809999,20.059999,20.059999,191708000
17-06-2013,20.719999,21.426001,19.5,19.91,19.91,231327500
24-06-2013,19.299999,22.049999,19.059999,21.472,21.472,170323000
01-07-2013,21.872,24.378,21.83,24.018,24.018,172965500
08-07-2013,24.274,25.988001,23.764,25.98,25.98,204226000
15-07-2013,26.606001,26.652,20.9,23.936001,23.936001,428058500
22-07-2013,23.978001,26.136,23.912001,25.878,25.878,196603000
29-07-2013,25.864,27.65,25.636,27.6,27.6,203755500
05-08-2013,28.002001,31.775999,26.472,30.6,30.6,369209500
12-08-2013,29.886,30.1,27,28.4,28.4,263211000
19-08-2013,28.686001,32.459999,28.566,32.368,32.368,221232500
26-08-2013,33.029999,34.599998,32.049999,33.799999,33.799999,384712500
02-09-2013,34.68,34.740002,33.029999,33.394001,33.394001,194209000
09-09-2013,32.624001,33.580002,31.702,33.108002,33.108002,203530000
16-09-2013,33.599998,37.166,32.672001,36.678001,36.678001,237539000
23-09-2013,36.896,38.256001,35.422001,38.18,38.18,176151500
30-09-2013,37.799999,38.900002,33.599998,36.195999,36.195999,378432500
07-10-2013,36.492001,37.346001,32.299999,35.740002,35.740002,288771500
14-10-2013,35,37.757999,34.830002,36.68,36.68,197946500
21-10-2013,36.655998,36.678001,32.029999,33.931999,33.931999,273302000
28-10-2013,34.035999,34.099998,30.6,32.433998,32.433998,234348000
04-11-2013,33,36.285999,26.464001,27.59,27.59,557109000
11-11-2013,28.200001,29.084,26.822001,27.09,27.09,318725000
18-11-2013,27.054001,27.09,23.586,24.275999,24.275999,399022500
25-11-2013,24.9,26.118,23.219999,25.455999,25.455999,231183000
02-12-2013,25.27,28.988001,24.785999,27.472,27.472,318896500
09-12-2013,27.4,30.360001,26.841999,29.530001,29.530001,241536000
16-12-2013,29.695999,30.98,27.82,28.648001,28.648001,244524000
23-12-2013,28.969999,31.6,28.52,30.224001,30.224001,139583500
30-12-2013,30.224001,30.962,29.309999,29.912001,29.912001,98066500
06-01-2014,30,30.74,28.450001,29.143999,29.143999,146932500
